               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1046,            0.052363,            0.029327,             0.45627,             0.16035,            0.079763,             0.02041,            0.085709,            0.037954,            0.016218,            0.070556,           0.0032716,           0.0032716
                   1,             0.08337,            0.041868,            0.011704,             0.54413,             0.22747,             0.17867,            0.057399,            0.083561,            0.028127,           0.0071221,            0.040425,           0.0064742,           0.0064742
                   2,            0.080977,            0.035265,           0.0080198,             0.62592,             0.30269,             0.26076,            0.098731,            0.068475,             0.02922,           0.0068208,            0.010162,           0.0095447,           0.0095447
                   3,            0.072998,            0.036031,           0.0072544,             0.64401,             0.28622,             0.28927,               0.105,            0.063015,            0.027784,           0.0064924,            0.009406,            0.009406,            0.009406
                   4,            0.067065,            0.034418,           0.0067764,             0.70097,             0.32469,             0.33245,             0.12576,            0.060222,            0.029837,           0.0066509,            0.009406,            0.009406,            0.009406
                   5,            0.060993,             0.03162,           0.0061018,             0.69832,             0.35629,              0.3761,             0.14253,            0.058566,            0.027998,           0.0057584,            0.009208,            0.009208,            0.009208
                   6,            0.058003,            0.034533,           0.0055297,             0.85023,             0.37808,             0.45033,              0.1869,            0.053755,            0.028365,           0.0058672,             0.00901,             0.00901,             0.00901
                   7,            0.056691,            0.034698,           0.0054136,             0.75588,             0.36727,              0.4032,             0.17733,            0.054463,            0.029962,           0.0062855,            0.008812,            0.008812,            0.008812
                   8,            0.055727,             0.03387,           0.0053669,             0.84105,               0.387,             0.45258,             0.19521,            0.052087,            0.028463,           0.0050609,            0.008614,            0.008614,            0.008614
                   9,            0.053861,            0.034001,           0.0042515,             0.81085,             0.39218,             0.44529,             0.19322,            0.052179,            0.028391,           0.0048447,            0.008416,            0.008416,            0.008416
                  10,              0.0526,            0.033799,           0.0046897,             0.86169,             0.44123,             0.51179,             0.25318,            0.045445,            0.026146,           0.0043529,            0.008218,            0.008218,            0.008218
